run_date,name,region,projected_winner,win_prob,rating,lab_proj_vote_share,con_proj_vote_share,ld_proj_vote_share,reform_proj_vote_share,green_proj_vote_share,snp_proj_vote_share,pc_proj_vote_share,oth_proj_vote_share,ni_dup_proj_vote_share,ni_sf_proj_vote_share,ni_alliance_proj_vote_share,ni_sdlp_proj_vote_share,ni_uup_proj_vote_share,ni_tuv_proj_vote_share,lab_win_pct,con_win_pct,ld_win_pct,reform_win_pct,green_win_pct,snp_win_pct,pc_win_pct,oth_win_pct,ni_dup_win_pct,ni_sf_win_pct,ni_alliance_win_pct,ni_sdlp_win_pct,ni_uup_win_pct,ni_tuv_win_pct
2024-07-05,Bournemouth East,England,lab,0.8991099680968266,Likely Labour,0.3745185719781429,0.2404909104552594,0.06606109467889434,0.1498560604427026,0.03852349228789027,0.0,0.0,0.1305498701571105,,,,,,,0.8991099680968266,0.01441286170045407,0.01441286170045407,0.01441286170045407,0.01441286170045407,0.01441286170045407,0.01441286170045407,0.01441286170045407,,,,,,
2024-07-06,Bournemouth East,England,lab,0.8991099680993662,Likely Labour,0.374518571978338,0.2404909104539451,0.06606109467837905,0.1498560604432254,0.0385234922870661,0.0,0.0,0.1305498701590464,,,,,,,0.8991099680993662,0.01441286170009129,0.01441286170009129,0.01441286170009129,0.01441286170009129,0.01441286170009129,0.01441286170009129,0.01441286170009129,,,,,,
2024-07-07,Bournemouth East,England,lab,0.8991099681019309,Likely Labour,0.3745185719785351,0.2404909104526175,0.06606109467785856,0.1498560604437536,0.03852349228623367,0.0,0.0,0.1305498701610016,,,,,,,0.8991099681019309,0.0144128616997249,0.0144128616997249,0.0144128616997249,0.0144128616997249,0.0144128616997249,0.0144128616997249,0.0144128616997249,,,,,,
2024-07-08,Bournemouth East,England,lab,0.8991099681045213,Likely Labour,0.3745185719787341,0.2404909104512767,0.06606109467733291,0.149856060444287,0.03852349228539291,0.0,0.0,0.1305498701629764,,,,,,,0.8991099681045213,0.01441286169935484,0.01441286169935484,0.01441286169935484,0.01441286169935484,0.01441286169935484,0.01441286169935484,0.01441286169935484,,,,,,
2024-07-09,Bournemouth East,England,lab,0.8991099681071375,Likely Labour,0.3745185719789351,0.2404909104499226,0.066061094676802,0.1498560604448257,0.03852349228454377,0.0,0.0,0.1305498701649709,,,,,,,0.8991099681071375,0.01441286169898109,0.01441286169898109,0.01441286169898109,0.01441286169898109,0.01441286169898109,0.01441286169898109,0.01441286169898109,,,,,,
2024-07-10,Bournemouth East,England,lab,0.8991099681097801,Likely Labour,0.3745185719791381,0.2404909104485548,0.06606109467626578,0.1498560604453698,0.03852349228368614,0.0,0.0,0.1305498701669854,,,,,,,0.8991099681097801,0.01441286169860359,0.01441286169860359,0.01441286169860359,0.01441286169860359,0.01441286169860359,0.01441286169860359,0.01441286169860359,,,,,,
2024-07-11,Bournemouth East,England,lab,0.8991099681124489,Likely Labour,0.3745185719793431,0.2404909104471734,0.06606109467572419,0.1498560604459193,0.03852349228281992,0.0,0.0,0.13054987016902,,,,,,,0.8991099681124489,0.01441286169822232,0.01441286169822232,0.01441286169822232,0.01441286169822232,0.01441286169822232,0.01441286169822232,0.01441286169822232,,,,,,
2024-07-12,Bournemouth East,England,lab,0.9539569146310567,Safe Labour,0.416161750928087,0.2392957441186547,0.07227783627704838,0.1430855313722876,0.07338245578204687,0.0,0.0,0.05579668152187545,,,,,,,0.9539569146310567,0.006577583624135095,0.006577583624135095,0.006577583624135095,0.006577583624135095,0.006577583624135095,0.006577583624135095,0.006577583624135095,,,,,,
2024-07-13,Bournemouth East,England,lab,0.9539569146336726,Safe Labour,0.4161617509295507,0.2392957441172735,0.07227783627670982,0.1430855313726172,0.07338245578226163,0.0,0.0,0.05579668152158725,,,,,,,0.9539569146336726,0.006577583623761394,0.006577583623761394,0.006577583623761394,0.006577583623761394,0.006577583623761394,0.006577583623761394,0.006577583623761394,,,,,,
2024-07-14,Bournemouth East,England,lab,0.9539569146363148,Safe Labour,0.416161750931029,0.2392957441158785,0.07227783627636783,0.1430855313729499,0.07338245578247857,0.0,0.0,0.05579668152129616,,,,,,,0.9539569146363148,0.006577583623383934,0.006577583623383934,0.006577583623383934,0.006577583623383934,0.006577583623383934,0.006577583623383934,0.006577583623383934,,,,,,
