run_date,name,region,projected_winner,win_prob,rating,lab_proj_vote_share,con_proj_vote_share,ld_proj_vote_share,reform_proj_vote_share,green_proj_vote_share,snp_proj_vote_share,pc_proj_vote_share,oth_proj_vote_share,ni_dup_proj_vote_share,ni_sf_proj_vote_share,ni_alliance_proj_vote_share,ni_sdlp_proj_vote_share,ni_uup_proj_vote_share,ni_tuv_proj_vote_share,lab_win_pct,con_win_pct,ld_win_pct,reform_win_pct,green_win_pct,snp_win_pct,pc_win_pct,oth_win_pct,ni_dup_win_pct,ni_sf_win_pct,ni_alliance_win_pct,ni_sdlp_win_pct,ni_uup_win_pct,ni_tuv_win_pct
2024-07-05,Cambridge,England,lab,0.9950667047581647,Safe Labour,0.4686328910624027,0.09955773125185277,0.1976925701868479,0.0,0.09252518736236687,0.0,0.0,0.1415916201365298,,,,,,,0.9950667047581647,0.0007047564631193615,0.0007047564631193615,0.0007047564631193615,0.0007047564631193615,0.0007047564631193615,0.0007047564631193615,0.0007047564631193615,,,,,,
2024-07-06,Cambridge,England,lab,0.9950667047584699,Safe Labour,0.4686328910634466,0.09955773125148144,0.1976925701856489,0.0,0.09252518736054798,0.0,0.0,0.1415916201388752,,,,,,,0.9950667047584699,0.0007047564630757615,0.0007047564630757615,0.0007047564630757615,0.0007047564630757615,0.0007047564630757615,0.0007047564630757615,0.0007047564630757615,,,,,,
2024-07-07,Cambridge,England,lab,0.9950667047587781,Safe Labour,0.468632891064501,0.09955773125110641,0.1976925701844379,0.0,0.09252518735871085,0.0,0.0,0.141591620141244,,,,,,,0.9950667047587781,0.0007047564630317331,0.0007047564630317331,0.0007047564630317331,0.0007047564630317331,0.0007047564630317331,0.0007047564630317331,0.0007047564630317331,,,,,,
2024-07-08,Cambridge,England,lab,0.9950667047590895,Safe Labour,0.4686328910655658,0.0995577312507276,0.1976925701832148,0.0,0.09252518735685536,0.0,0.0,0.1415916201436364,,,,,,,0.9950667047590895,0.000704756462987245,0.000704756462987245,0.000704756462987245,0.000704756462987245,0.000704756462987245,0.000704756462987245,0.000704756462987245,,,,,,
2024-07-09,Cambridge,England,lab,0.995066704759404,Safe Labour,0.4686328910666412,0.09955773125034499,0.1976925701819796,0.0,0.09252518735498132,0.0,0.0,0.1415916201460528,,,,,,,0.995066704759404,0.0007047564629423285,0.0007047564629423285,0.0007047564629423285,0.0007047564629423285,0.0007047564629423285,0.0007047564629423285,0.0007047564629423285,,,,,,
2024-07-10,Cambridge,England,lab,0.9950667047597216,Safe Labour,0.4686328910677275,0.09955773124995859,0.1976925701807319,0.0,0.09252518735308857,0.0,0.0,0.1415916201484934,,,,,,,0.9950667047597216,0.0007047564628969521,0.0007047564628969521,0.0007047564628969521,0.0007047564628969521,0.0007047564628969521,0.0007047564628969521,0.0007047564628969521,,,,,,
2024-07-11,Cambridge,England,lab,0.9950667047600423,Safe Labour,0.4686328910688247,0.09955773124956833,0.1976925701794717,0.0,0.09252518735117689,0.0,0.0,0.1415916201509584,,,,,,,0.9950667047600423,0.0007047564628511316,0.0007047564628511316,0.0007047564628511316,0.0007047564628511316,0.0007047564628511316,0.0007047564628511316,0.0007047564628511316,,,,,,
2024-07-12,Cambridge,England,lab,0.9970566712465178,Safe Labour,0.4892510254903514,0.09163931541549244,0.2000876397901915,0.0,0.1630411015694492,0.0,0.0,0.05598091773451552,,,,,,,0.9970566712465178,0.0004204755362117706,0.0004204755362117706,0.0004204755362117706,0.0004204755362117706,0.0004204755362117706,0.0004204755362117706,0.0004204755362117706,,,,,,
2024-07-13,Cambridge,England,lab,0.997056671246746,Safe Labour,0.4892510254919524,0.09163931541490561,0.2000876397891278,0.0,0.1630411015698233,0.0,0.0,0.05598091773419099,,,,,,,0.997056671246746,0.0004204755361791617,0.0004204755361791617,0.0004204755361791617,0.0004204755361791617,0.0004204755361791617,0.0004204755361791617,0.0004204755361791617,,,,,,
2024-07-14,Cambridge,England,lab,0.9970566712469765,Safe Labour,0.4892510254935694,0.0916393154143129,0.2000876397880534,0.0,0.1630411015702013,0.0,0.0,0.05598091773386323,,,,,,,0.9970566712469765,0.0004204755361462358,0.0004204755361462358,0.0004204755361462358,0.0004204755361462358,0.0004204755361462358,0.0004204755361462358,0.0004204755361462358,,,,,,
2024-07-15,Cambridge,England,lab,0.9970566712472093,Safe Labour,0.4892510254952023,0.09163931541371426,0.2000876397869683,0.0,0.1630411015705829,0.0,0.0,0.05598091773353216,,,,,,,0.9970566712472093,0.0004204755361129767,0.0004204755361129767,0.0004204755361129767,0.0004204755361129767,0.0004204755361129767,0.0004204755361129767,0.0004204755361129767,,,,,,
2024-07-16,Cambridge,England,lab,0.9970566712474445,Safe Labour,0.4892510254968518,0.09163931541310963,0.2000876397858723,0.0,0.1630411015709685,0.0,0.0,0.0559809177331978,,,,,,,0.9970566712474445,0.0004204755360793845,0.0004204755360793845,0.0004204755360793845,0.0004204755360793845,0.0004204755360793845,0.0004204755360793845,0.0004204755360793845,,,,,,
2024-07-17,Cambridge,England,lab,0.997056671247682,Safe Labour,0.4892510254985178,0.09163931541249896,0.2000876397847654,0.0,0.1630411015713578,0.0,0.0,0.0559809177328601,,,,,,,0.997056671247682,0.0004204755360454433,0.0004204755360454433,0.0004204755360454433,0.0004204755360454433,0.0004204755360454433,0.0004204755360454433,0.0004204755360454433,,,,,,
2024-07-18,Cambridge,England,lab,0.9970566712479219,Safe Labour,0.4892510255002004,0.0916393154118822,0.2000876397836474,0.0,0.163041101571751,0.0,0.0,0.05598091773251902,,,,,,,0.9970566712479219,0.0004204755360111851,0.0004204755360111851,0.0004204755360111851,0.0004204755360111851,0.0004204755360111851,0.0004204755360111851,0.0004204755360111851,,,,,,
2024-07-19,Cambridge,England,lab,0.9970566712481641,Safe Labour,0.4892510255018997,0.09163931541125925,0.2000876397825183,0.0,0.1630411015721482,0.0,0.0,0.05598091773217454,,,,,,,0.9970566712481641,0.0004204755359765778,0.0004204755359765778,0.0004204755359765778,0.0004204755359765778,0.0004204755359765778,0.0004204755359765778,0.0004204755359765778,,,,,,
2024-07-20,Cambridge,England,lab,0.9970566712484088,Safe Labour,0.4892510255036162,0.09163931541063008,0.2000876397813778,0.0,0.1630411015725493,0.0,0.0,0.0559809177318266,,,,,,,0.9970566712484088,0.0004204755359416216,0.0004204755359416216,0.0004204755359416216,0.0004204755359416216,0.0004204755359416216,0.0004204755359416216,0.0004204755359416216,,,,,,
2024-07-21,Cambridge,England,lab,0.9970566712486559,Safe Labour,0.4892510255053497,0.09163931540999465,0.200087639780226,0.0,0.1630411015729545,0.0,0.0,0.05598091773147518,,,,,,,0.9970566712486559,0.0004204755359063165,0.0004204755359063165,0.0004204755359063165,0.0004204755359063165,0.0004204755359063165,0.0004204755359063165,0.0004204755359063165,,,,,,
2024-07-22,Cambridge,England,lab,0.9970566712489056,Safe Labour,0.4892510255071006,0.0916393154093528,0.2000876397790626,0.0,0.1630411015733638,0.0,0.0,0.05598091773112025,,,,,,,0.9970566712489056,0.0004204755358706466,0.0004204755358706466,0.0004204755358706466,0.0004204755358706466,0.0004204755358706466,0.0004204755358706466,0.0004204755358706466,,,,,,
2024-07-23,Cambridge,England,lab,0.9970566712491578,Safe Labour,0.489251025508869,0.09163931540870458,0.2000876397778876,0.0,0.1630411015737771,0.0,0.0,0.05598091773076178,,,,,,,0.9970566712491578,0.0004204755358346278,0.0004204755358346278,0.0004204755358346278,0.0004204755358346278,0.0004204755358346278,0.0004204755358346278,0.0004204755358346278,,,,,,
2024-07-24,Cambridge,England,lab,0.9970566712494123,Safe Labour,0.4892510255106552,0.09163931540804987,0.2000876397767009,0.0,0.1630411015741945,0.0,0.0,0.05598091773039971,,,,,,,0.9970566712494123,0.0004204755357982601,0.0004204755357982601,0.0004204755357982601,0.0004204755357982601,0.0004204755357982601,0.0004204755357982601,0.0004204755357982601,,,,,,
2024-07-25,Cambridge,England,lab,0.9970566712496696,Safe Labour,0.4892510255124592,0.09163931540738858,0.2000876397755021,0.0,0.1630411015746161,0.0,0.0,0.05598091773003401,,,,,,,0.9970566712496696,0.0004204755357615118,0.0004204755357615118,0.0004204755357615118,0.0004204755357615118,0.0004204755357615118,0.0004204755357615118,0.0004204755357615118,,,,,,
2024-07-26,Cambridge,England,lab,0.996350198469001,Safe Labour,0.4875055108808576,0.09682372493584995,0.2058148430001755,0.0,0.1585706101773561,0.0,0.0,0.05128531100576084,,,,,,,0.996350198469001,0.0005214002187141739,0.0005214002187141739,0.0005214002187141739,0.0005214002187141739,0.0005214002187141739,0.0005214002187141739,0.0005214002187141739,,,,,,
