run_date,name,region,projected_winner,win_prob,rating,lab_proj_vote_share,con_proj_vote_share,ld_proj_vote_share,reform_proj_vote_share,green_proj_vote_share,snp_proj_vote_share,pc_proj_vote_share,oth_proj_vote_share,ni_dup_proj_vote_share,ni_sf_proj_vote_share,ni_alliance_proj_vote_share,ni_sdlp_proj_vote_share,ni_uup_proj_vote_share,ni_tuv_proj_vote_share,lab_win_pct,con_win_pct,ld_win_pct,reform_win_pct,green_win_pct,snp_win_pct,pc_win_pct,oth_win_pct,ni_dup_win_pct,ni_sf_win_pct,ni_alliance_win_pct,ni_sdlp_win_pct,ni_uup_win_pct,ni_tuv_win_pct
2024-07-05,Hinckley and Bosworth,England,con,0.8850704764455903,Likely Conservative,0.1676124490749962,0.3713680846369051,0.24529647731768,0.1712628942086199,0.03913521359159082,0.0,0.0,0.005324881170207893,,,,,,,0.01641850336491651,0.8850704764455903,0.01641850336491651,0.01641850336491651,0.01641850336491651,0.01641850336491651,0.01641850336491651,0.01641850336491651,,,,,,
2024-07-06,Hinckley and Bosworth,England,con,0.8850704764455852,Likely Conservative,0.1676124490754425,0.3713680846367308,0.2452964773175085,0.1712628942085327,0.0391352135915791,0.0,0.0,0.005324881170206241,,,,,,,0.01641850336491723,0.8850704764455852,0.01641850336491723,0.01641850336491723,0.01641850336491723,0.01641850336491723,0.01641850336491723,0.01641850336491723,,,,,,
2024-07-07,Hinckley and Bosworth,England,con,0.8850704764455813,Likely Conservative,0.1676124490758936,0.3713680846365552,0.245296477317335,0.1712628942084443,0.03913521359156721,0.0,0.0,0.005324881170204556,,,,,,,0.01641850336491779,0.8850704764455813,0.01641850336491779,0.01641850336491779,0.01641850336491779,0.01641850336491779,0.01641850336491779,0.01641850336491779,,,,,,
2024-07-08,Hinckley and Bosworth,England,con,0.8850704764455751,Likely Conservative,0.1676124490763492,0.371368084636377,0.2452964773171603,0.1712628942083554,0.03913521359155523,0.0,0.0,0.005324881170202865,,,,,,,0.01641850336491868,0.8850704764455751,0.01641850336491868,0.01641850336491868,0.01641850336491868,0.01641850336491868,0.01641850336491868,0.01641850336491868,,,,,,
2024-07-09,Hinckley and Bosworth,England,con,0.8850704764455695,Likely Conservative,0.1676124490768095,0.3713680846361972,0.2452964773169835,0.1712628942082656,0.03913521359154311,0.0,0.0,0.005324881170201147,,,,,,,0.01641850336491949,0.8850704764455695,0.01641850336491949,0.01641850336491949,0.01641850336491949,0.01641850336491949,0.01641850336491949,0.01641850336491949,,,,,,
2024-07-10,Hinckley and Bosworth,England,con,0.885070476445564,Likely Conservative,0.167612449077274,0.3713680846360156,0.2452964773168048,0.1712628942081753,0.03913521359153081,0.0,0.0,0.005324881170199434,,,,,,,0.01641850336492027,0.885070476445564,0.01641850336492027,0.01641850336492027,0.01641850336492027,0.01641850336492027,0.01641850336492027,0.01641850336492027,,,,,,
2024-07-11,Hinckley and Bosworth,England,con,0.8850704764455589,Likely Conservative,0.1676124490777434,0.3713680846358325,0.2452964773166245,0.1712628942080834,0.03913521359151851,0.0,0.0,0.005324881170197699,,,,,,,0.01641850336492099,0.8850704764455589,0.01641850336492099,0.01641850336492099,0.01641850336492099,0.01641850336492099,0.01641850336492099,0.01641850336492099,,,,,,
2024-07-12,Hinckley and Bosworth,England,con,0.8519653534549894,Likely Conservative,0.2107199242733464,0.3221882997836636,0.2124774829161325,0.1965953176498871,0.05424238657994636,0.0,0.0,0.003776588797024053,,,,,,,0.02114780664928832,0.8519653534549894,0.02114780664928832,0.02114780664928832,0.02114780664928832,0.02114780664928832,0.02114780664928832,0.02114780664928832,,,,,,
2024-07-13,Hinckley and Bosworth,England,con,0.8519653534537405,Likely Conservative,0.2107199242752824,0.3221882997818731,0.2124774829149094,0.196595317650554,0.05424238658040838,0.0,0.0,0.003776588796972601,,,,,,,0.02114780664946673,0.8519653534537405,0.02114780664946673,0.02114780664946673,0.02114780664946673,0.02114780664946673,0.02114780664946673,0.02114780664946673,,,,,,
2024-07-14,Hinckley and Bosworth,England,con,0.8519653534524799,Likely Conservative,0.2107199242772374,0.3221882997800654,0.2124774829136743,0.1965953176512272,0.05424238658087513,0.0,0.0,0.003776588796920625,,,,,,,0.02114780664964681,0.8519653534524799,0.02114780664964681,0.02114780664964681,0.02114780664964681,0.02114780664964681,0.02114780664964681,0.02114780664964681,,,,,,
